[0.000000] (-) TimerEvent: {}
[0.000262] (my_pick_and_place_pkg) JobQueued: {'identifier': 'my_pick_and_place_pkg', 'dependencies': OrderedDict()}
[0.001330] (robotiq_controllers) JobQueued: {'identifier': 'robotiq_controllers', 'dependencies': OrderedDict()}
[0.001352] (robotiq_description) JobQueued: {'identifier': 'robotiq_description', 'dependencies': OrderedDict()}
[0.001362] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.001370] (ur_simulation_gz) JobQueued: {'identifier': 'ur_simulation_gz', 'dependencies': OrderedDict([('ur_description', '/home/bin1225/ur_ws/install/ur_description')])}
[0.001381] (ur_description) JobStarted: {'identifier': 'ur_description'}
[0.008657] (my_pick_and_place_pkg) JobStarted: {'identifier': 'my_pick_and_place_pkg'}
[0.016800] (robotiq_controllers) JobStarted: {'identifier': 'robotiq_controllers'}
[0.019229] (robotiq_description) JobStarted: {'identifier': 'robotiq_description'}
[0.023450] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'cmake'}
[0.023881] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'build'}
